logged_at,run_date,zone,target,stage,message,context,status
2026-08-31T08:12:07+00:00,2026-08-30,BE,load,data_or_features,503 Server Error: Service Unavailable for url: https://web-api.tp.entsoe.eu/api?documentType=A65&processType=A01&outBiddingZone_Domain=10YBE----------2&securityToken=6a20f3fc-7226-4f1b-8715-968f741b036c&periodStart=202608301600&periodEnd=202608311600,{},open
2026-08-31T08:12:29+00:00,2026-08-30,BE,solar,data_or_features,503 Server Error: Service Unavailable for url: https://web-api.tp.entsoe.eu/api?documentType=A69&processType=A01&in_Domain=10YBE----------2&psrType=B16&securityToken=6a20f3fc-7226-4f1b-8715-968f741b036c&periodStart=202608301600&periodEnd=202608311600,{},open
2026-08-31T08:12:45+00:00,2026-08-30,BE,wind_onshore,data_or_features,503 Server Error: Service Unavailable for url: https://web-api.tp.entsoe.eu/api?documentType=A69&processType=A01&in_Domain=10YBE----------2&psrType=B19&securityToken=6a20f3fc-7226-4f1b-8715-968f741b036c&periodStart=202608301600&periodEnd=202608311600,{},open
2026-08-31T08:12:52+00:00,2026-08-30,BE,wind_offshore,data_or_features,503 Server Error: Service Unavailable for url: https://web-api.tp.entsoe.eu/api?documentType=A69&processType=A01&in_Domain=10YBE----------2&psrType=B18&securityToken=6a20f3fc-7226-4f1b-8715-968f741b036c&periodStart=202608301600&periodEnd=202608311600,{},open
2026-08-31T08:14:57+00:00,2026-08-30,FR,load,data_or_features,503 Server Error: Service Unavailable for url: https://web-api.tp.entsoe.eu/api?documentType=A65&processType=A01&outBiddingZone_Domain=10YFR-RTE------C&securityToken=6a20f3fc-7226-4f1b-8715-968f741b036c&periodStart=202608301600&periodEnd=202608311600,{},open
2026-08-31T08:15:08+00:00,2026-08-30,FR,solar,data_or_features,503 Server Error: Service Unavailable for url: https://web-api.tp.entsoe.eu/api?documentType=A69&processType=A01&in_Domain=10YFR-RTE------C&psrType=B16&securityToken=6a20f3fc-7226-4f1b-8715-968f741b036c&periodStart=202608301600&periodEnd=202608311600,{},open
2026-08-31T08:15:14+00:00,2026-08-30,FR,wind_onshore,data_or_features,503 Server Error: Service Unavailable for url: https://web-api.tp.entsoe.eu/api?documentType=A69&processType=A01&in_Domain=10YFR-RTE------C&psrType=B19&securityToken=6a20f3fc-7226-4f1b-8715-968f741b036c&periodStart=202608301600&periodEnd=202608311600,{},open
2026-08-31T08:15:35+00:00,2026-08-30,FR,wind_offshore,data_or_features,503 Server Error: Service Unavailable for url: https://web-api.tp.entsoe.eu/api?documentType=A69&processType=A01&in_Domain=10YFR-RTE------C&psrType=B18&securityToken=6a20f3fc-7226-4f1b-8715-968f741b036c&periodStart=202608301600&periodEnd=202608311600,{},open
2026-08-31T08:15:42+00:00,2026-08-30,DE,load,data_or_features,503 Server Error: Service Unavailable for url: https://web-api.tp.entsoe.eu/api?documentType=A65&processType=A01&outBiddingZone_Domain=10Y1001A1001A83F&securityToken=6a20f3fc-7226-4f1b-8715-968f741b036c&periodStart=202608301600&periodEnd=202608311600,{},open
2026-08-31T08:15:55+00:00,2026-08-30,DE,solar,data_or_features,503 Server Error: Service Unavailable for url: https://web-api.tp.entsoe.eu/api?documentType=A69&processType=A01&in_Domain=10Y1001A1001A83F&psrType=B16&securityToken=6a20f3fc-7226-4f1b-8715-968f741b036c&periodStart=202608301600&periodEnd=202608311600,{},open
2026-08-31T08:16:01+00:00,2026-08-30,DE,wind_onshore,data_or_features,503 Server Error: Service Unavailable for url: https://web-api.tp.entsoe.eu/api?documentType=A69&processType=A01&in_Domain=10Y1001A1001A83F&psrType=B19&securityToken=6a20f3fc-7226-4f1b-8715-968f741b036c&periodStart=202608301600&periodEnd=202608311600,{},open
2026-08-31T08:17:07+00:00,2026-08-30,DE,wind_offshore,data_or_features,503 Server Error: Service Unavailable for url: https://web-api.tp.entsoe.eu/api?documentType=A69&processType=A01&in_Domain=10Y1001A1001A83F&psrType=B18&securityToken=6a20f3fc-7226-4f1b-8715-968f741b036c&periodStart=202608301600&periodEnd=202608311600,{},open
